case_id,case_number,investigation_started,decision_date,duration_months,case_name,parties_name,parties_count,report_route,decision_type,article_infringed,offense_nature,commissioner,commissioner_id,appeal,court_case_linked,,,,,,,
1,61,04.09.1959,11.03.1964,54,Grosfillex & Fillistorf,Grosfillex,1,Notification,Negative Clearance ,81,agreement between two companies (vertical),Walter Hallstein (P),1,0,,,,,,,,
2,12868,25.01.1963,01.06.1964,16,Bendix & Meertens and Straet,Bendix International Division ; Mertens & Straet,2,Notification,Negative Clearance ,81,agreement between two companies (vertical),Walter Hallstein (P),1,0,,,,,,,,
3,95,11.07.1962,30.07.1964,25,Nicholas Frères & Vitapro,Société Nicholas,1,Notification,Negative Clearance ,81,agreement between two companies,Walter Hallstein (P),1,0,,,,,,,,
4,3344,29.01.1963,23.09.1964,20,Grundig-Consten,Grundig Verkaufs GmbH; Êts. Consten s.à.r.l.,2,Notification,Infringement ,81,agreement between two companies (vertical),Walter Hallstein (P),1,1,"56/64, 58/64",,,,,,,
5,71,15.03.1963,22.10.1964,19,Deca,N.V. Amsterdamsche Ballast Maatschappij; van Hattum en Blankevoort N.V.; Hollandsche Beton Maatschappij N.V.; De Verenigde Bedrijven Bredero N.V.,4,Notification,Negative Clearance ,81,Change in official rules of Deca (horizontal),Walter Hallstein (P),1,0,,,,,,,,
6,3036,28.01.1963,08.07.1965,29,Dru-Blondel,Koninklijke Fabrieken Diepenbrock en Reigers N.V.; Établissements Blondel SA,2,Notification,Exemption,81,agreement between two companies (vertical),Walter Hallstein (P),1,0,,,,,,,,
7,2702,30.01.1963,17.09.1965,32,Hummel-Isbecque,Ludwig-Hummel; Edmond Isbecque,2,Notification,Exemption,81,agreement between two companies (vertical),Walter Hallstein (P),1,0,,,,,,,,
8,22491,19.02.1963,17.12.1965,34,Maison Jallatte,Maison Jalatte SA; Hans Voss KG; SA Éts Vandeputte,3,Notification,Exemption,81,Distribution agreement (vertical),Walter Hallstein (P),1,0,,,,,,,,
9,223,17.09.1966,27.06.1967,9,Transocean Marine Paint Association,"Koninklijke Lak-, Vernis- en Verffabriek Molijn en Co. NV; J.C. de Coninck et fils SA; Astral, Société de peintures, vernis et encres d'imprimerie; Gioacchino Veneziani SpA; Farbenfabriken Hansa-Höeg; Storry Smithson Group of Companies; Alf Bjercke; C. Ljungdahls AB; Teknos-Mallit Oy; Urruzola SA; The National Lacquer and Paint Products Co. Ltd.; P.A.R. Malayan Paintworks Ltd.; Pacific Products Inc.; Nippon Paidnt Co. Ltd.; Spartan Paints Pty.Ltd.; Superior Paint and Varnish Corporation; Fuller Istmena SA; Antilliaanse Verffabriek NV",18,Notification,Exemption,81,Horizontal agreement,Walter Hallstein (P),1,0,,,,,,,,
10,26352,18.06.1962,26.02.1968,68,Eurogypsum,Eurogypsum,1,Notification,Negative Clearance ,81,Agreement between several companies (horizontal distribution agreement),Jean Rey (P),2,0,,,,,,,,
11,25140,09.04.1964,17.07.1968,52,Alliance Constructeurs Francais de Machines-Outils,Ateliers G.S.P.; Société gambin; Établissements A. Huard; Société Ramo; Établissements Rouchaud et Lamassiaude;  Établissements Vernet;  Établissements Arduino;  Établissements W. Gillet; Société Microrex,9,Notification,Negative Clearance ,81,Agreement between several companies (horizontal distribution agreement),Jean Rey (P),2,0,,,,,,,,
12,129,22.10.1962,17.07.1968,69,Socemas,SOCEMAS,1,Notification,Negative Clearance ,81,Vertical restraints,Jean Rey (P),2,0,,,,,,,,
13,26045,14.03.1962,17.07.1968,77,Acec-Berliet,Acec; Berliet,2,Notification,Exemption,81,Horizontal production agreement,Jean Rey (P),2,0,,,,,,,,
