decision_date,case_numbers_raw,case_numbers_normalized,decision_label,decision_title,download_urls
11.12.1981,IV/511,511,Infringement,National Panasonic France,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:31982D0465&qid=1783330337429
14.12.1999,IV/34.237,34237,Infringement,Anheuser-Busch Inc/Scottish and New Castle,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32000D0146&qid=1783330296984
28.06.1995,,,Infringement,Zaventem,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?from=FR&uri=CELEX%3A31995D0364
24.04.1985,,,Infringement,Greek Insurance,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX%3A31985D0276
22.06.1987,,,Infringement,Canary Islands,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:31987D0359
20.12.1989,,,Infringement,Provision in the Netherlands of express delivery services,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:31990D0016
21.12.1993,,,Infringement,Rodby,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:31994D0119
04.10.1995,,,Infringement,GSM Italia,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:31995D0489&qid=1783330076967
27.11.1996,,,Exemption,Telecom Eireann,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:31997D0114&qid=1783330103549
18.12.1996,,,Infringement,GSM Spain,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:31997D0181&qid=1783330139083
12.02.1997,,,Exemption,Additional implementation periods to Portugal,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:31997D0310&qid=1783330176776
14.05.1997,,,Exemption,Additional implementation periods to Luxembourg,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:31997D0568&qid=1783330176776
10.06.1997,,,Exemption,Additional implementation periods to Spain,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:31997D0603&qid=1783330176776
26.06.1997,,,Infringement,Broadcasting television Flanders,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:31997D0606&qid=1783330236900
18.06.1997,,,Exemption,Additional implementation periods to Greece,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:31997D0607&qid=1783330176776
21.10.1997,,,Infringement,Italian ports legislation | Tariffs for piloting in the Port of Genoa,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:31997D0744&qid=1783330260478
